阿	tzk· 阝可 ·a
抶	uthf· 扌丿夫 ·chi
扡	uey· 扌也 ·chi
懘	klwh· 氵艹冖巾心 ·chi
憏	hhfs· 忄示 ·chi
慸	lwrh· 艹冖巾心 ·chi
慗	xhhx· 束攵心 ·chi
恥	qhx· 耳心 ·chi
恜	hpug· 忄弋工 ·chi
雴	til· ⻗立 ·chi
徲	wckq· 彳尸氺牛 ·chi
彲	fvfe· 一一鹿彡 ·chi
彨	fvve· 一彡 ·chi
岻	vbid· 山氏丶 ·chi
飭	qesl· 飠𠂉力 ·chi
饎	qhdk· 飠壴口 ·chi
妛	sfbn· 屮一女 ·chi
馳	ney· 馬也 ·chi
騺	ggkn· 土九丶馬 ·chi
垑	gllx· 土夕夕 ·chi
坘	gfbj· 土一彑 ·chi
噄	dapi· 口丰刀糸 ·chi
喫	dapm· 口丰刀大 ·chi
呬	dys· 口四 ·chi
呎	dcid· 口尸㇏ ·chi
叺	dju· 口入 ·chi
鳷	cxn· 支鳥 ·chi
鴟	bixn· 氏丶鳥 ·chi
卶	llzj· 夕夕卩 ·chi
卙	zhan· ㇗十 ·chi
鵄	yxn· 至鳥 ·chi
鵣	xxn· 束鳥 ·chi
勑	ejjs· 木人人力 ·chi
勅	xsl· 束力 ·chi
鶒	xsxn· 束力鳥 ·chi
鷘	xhxn· 束攵鳥 ·chi
麶	ejjv· 木人人夂亠㐅凵禸 ·chi
黐	xjkv· 禾人氺亠㐅凵禸 ·chi
俿	jzh· 亻虎 ·chi
侙	jpug· 亻弋工 ·chi
齒	lc· 齒 ·chi
齝	lkdk· 齒厶口 ·chi
冲	wdgs· 冫口丨 ·chong
充	bpe· 儿 ·chong
重	ldl· 千里 ·chong
虫	cc· 虫 ·chong
宠	wtl· 宀龙 ·chong
崇	vwfs· 山宀示 ·chong
铳	zbpe· 钅儿 ·chong
忡	hdgs· 忄口丨 ·chong
舂	aipj· ㇏臼 ·chong
涌	kkty· 氵龴 ·chong
种	xdgs· 禾口丨 ·chong
憧	hidl· 忄立里 ·chong
茺	lbpe· 艹儿 ·chong
艟	iidl· 舟立里 ·chong
蝩	cldl· 虫千里 ·chong
蟲	cccc· 虫虫虫 ·chong
衝	pldl· 行千里 ·chong
翀	zdgs· 羽口丨 ·chong
褈	tldl· 衤千里 ·chong
罿	yidl· 罒立里 ·chong
緟	ildl· 糹千里 ·chong
祌	fdgs· 礻口丨 ·chong
痋	acc· 疒虫 ·chong
珫	nbpe· 王儿 ·chong
蹖	paip· ⻊㇏臼 ·chong
蹱	pidl· ⻊立里 ·chong
爞	cccc· 火虫虫虫 ·chong
漴	kvwf· 氵山宀示 ·chong
浺	khdg· 氵忄口丨 ·chong
沖	kdgs· 氵口丨 ·chong
樁	eaip· 木㇏臼 ·chong
銃	zbpe· 金儿 ·chong
摏	uaip· 扌㇏臼 ·chong
揰	uldl· 扌千里 ·chong
憃	aiph· ㇏臼心 ·chong
隀	tldl· 阝千里 ·chong
徸	widl· 彳立里 ·chong
崈	wfvs· 宀示山 ·chong
寵	wtl· 宀龍 ·chong
埫	gss· 土尚 ·chong
嘃	dxbt· 口广肀 ·chong
喠	dldl· 口千里 ·chong
傭	jxbt· 亻广肀 ·chong
抽	udy· 扌由 ·chou
丑	agt· ヿ土 ·chou
臭	omq· 自犬 ·chou
愁	xchx· 禾火心 ·chou
筹	rakc· ⺮寸 ·chou
绸	imgd· 纟⺆土口 ·chou
仇	jkj· 亻九 ·chou
瞅	qxch· 目禾火 ·chou
酬	yooc· 酉川 ·chou
稠	xmgd· 禾⺆土口 ·chou
畴	qakc· 田寸 ·chou
俦	jakc· 亻寸 ·chou
惆	hmgd· 忄⺆土口 ·chou
踌	pakc· ⻊寸 ·chou
瘳	azje· 疒羽人彡 ·chou
雠	usui· 隹讠隹 ·chou
帱	rakc· 巾寸 ·chou
杻	eagt· 木ヿ土 ·chou
犨	uuqn· 隹隹牛 ·chou
薵	lgak· 艹士乛工一口寸 ·chou
菗	ludy· 艹扌由 ·chou
臰	ogvb· 自歹匕 ·chou
裯	tmgd· 衤⺆土口 ·chou
綢	imgd· 糹⺆土口 ·chou
絒	iooc· 糹川 ·chou
紬	idy· 糹由 ·chou
籌	rgak· ⺮士乛工一口寸 ·chou
篘	rnss· ⺮勹勹 ·chou
詶	sooc· 言川 ·chou
謅	snss· 言勹勹 ·chou
矁	qxch· 目禾火心 ·chou
譸	sgak· 言士乛工一口寸 ·chou
讎	usui· 隹言隹 ·chou
讐	uusy· 隹隹言 ·chou
诪	sakc· 讠寸 ·chou
眣	qthf· 目丿夫 ·chou
盩	ggha· 土攵皿 ·chou
皗	umgd· 白⺆土口 ·chou
疇	qgak· 田士乛工一口寸 ·chou
畤	qgkc· 田土寸 ·chou
跾	jghp· 亻丨攵足 ·chou
犫	usuq· 隹言隹牛 ·chou
牰	qdy· 牜由 ·chou
燽	cgak· 火士乛工一口寸 ·chou
躊	pgak· ⻊士乛工一口寸 ·chou
遚	pgru· 臼丨又辶 ·chou
酧	ywkc· 酉宀寸 ·chou
醔	xcyy· 禾火酉 ·chou
醜	yag· 酉鬼 ·chou
殠	gomq· 歹自犬 ·chou
醻	ygak· 酉士乛工一口寸 ·chou
檮	egak· 木士乛工一口寸 ·chou
椆	emgd· 木⺆土口 ·chou
栦	eooc· 木川 ·chou
杽	eus· 木手 ·chou
搊	unss· 扌勹勹 ·chou
懤	hgak· 忄士乛工一口寸 ·chou
怞	hdy· 忄由 ·chou
雔	uui· 隹隹 ·chou
幬	rgak· 巾士乛工一口寸 ·chou
嬦	bgak· 女士乛工一口寸 ·chou
嚋	dgak· 口士乛工一口寸 ·chou
魗	gaua· 士乛工一口寸鬼 ·chou
鮘	wjpi· 魚亻弋 ·chou
鯈	jghw· 亻丨夂魚 ·chou
吜	dagt· 口ヿ土 ·chou
儔	jgak· 亻士乛工一口寸 ·chou
偢	jxch· 亻禾火 ·chou
侴	jagp· 亼ヿ土刂 ·chou
出	smk· 屮凵 ·chu
处	hyb· 夂卜 ·chu
除	tjxh· 阝人 ·chu
初	tpd· 衤刀 ·chu
楚	eets· 木木疋 ·chu
储	jsqo· 亻讠耂日 ·chu
触	xtcc· ⺈用虫 ·chu
畜	ziqt· 亠幺田 ·chu
褚	tqor· 衤耂日 ·chu
锄	zfsl· 钅且力 ·chu
雏	xbui· ⺈彐隹 ·chu
厨	xzkc· 厂豆寸 ·chu
橱	exzk· 木厂豆寸 ·chu
怵	heid· 忄木丶 ·chu
矗	nqff· 十一十一十一 ·chu
础	msmk· 石屮凵 ·chu
杵	eens· 木𠂉十 ·chu
黜	psmk· 屮凵 ·chu
楮	eqor· 木耂日 ·chu
滁	ktjx· 氵阝人 ·chu
刍	xbj· ⺈彐 ·chu
憷	heet· 忄木木疋 ·chu
搐	uziq· 扌亠幺田 ·chu
躇	plqo· ⻊艹耂日 ·chu
绌	ismk· 纟屮凵 ·chu
蜍	cjxh· 虫人 ·chu
樗	etma· 木⻗二ㄅ ·chu
蹰	pxzk· ⻊厂豆寸 ·chu
亍	wc· 亍 ·chu
俶	jyfr· 亻⺊一小又 ·chu
蕏	lmqo· 艹犭耂日 ·chu
藸	ljqo· 艹豕耂日 ·chu
蓫	ljuc· 艹豕辶 ·chu
蒭	lnss· 艹勹勹 ·chu
蒢	ltjx· 艹阝人 ·chu
處	zhoj· 虍夂几 ·chu
芻	nsns· 勹勹 ·chu
臅	vync· 月罒勹虫 ·chu
蠩	csqo· 虫言耂日 ·chu
耡	afsl· 耒且力 ·chu
耝	afq· 耒且 ·chu
觕	qxty· 牜⺈用 ·chu
絀	ismk· 糹屮凵 ·chu
觸	xtyc· ⺈用罒勹虫 ·chu
篨	rtjx· ⺮阝人 ·chu
詘	ssmk· 言屮凵 ·chu
竐	irs· 立殳 ·chu
竌	ioj· 立几 ·chu
諔	syfr· 言⺊一小又 ·chu
礎	meet· 石木木疋 ·chu
豖	jid· 豕丶 ·chu
豠	jfq· 豕且 ·chu
貙	mndd· 豸匸口口口 ·chu
璴	neet· 王木木疋 ·chu
趎	ptaw· 走丿未 ·chu
琡	nyfr· 王⺊一小又 ·chu
珿	npu· 王足 ·chu
跦	ptaw· ⻊丿未 ·chu
踀	ppu· ⻊足 ·chu
犓	qnss· 牜勹勹 ·chu
躕	pxhk· ⻊广壴寸 ·chu
炪	csmk· 火屮凵 ·chu
濋	keet· 氵木木疋 ·chu
滀	kziq· 氵亠幺田 ·chu
鄐	ziqt· 亠幺田阝 ·chu
歜	ynce· 罒勹虫欠 ·chu
欪	smeq· 屮凵欠 ·chu
櫥	exhk· 木广壴寸 ·chu
檚	eeet· 木木木疋 ·chu
槒	eziq· 木亠幺田 ·chu
椘	eeri· 木木之 ·chu
鉏	zfq· 金且 ·chu
鋤	zfsl· 金且力 ·chu
斶	tync· 斤罒勹虫 ·chu
敊	yfyh· ⺊一小攴 ·chu
摴	utma· 扌⻗二ㄅ ·chu
摢	uztn· 扌虍丿丷 ·chu
拀	udpe· 扌口儿 ·chu
閦	ajjj· 門人人人 ·chu
懨	hxom· 忄厂日月犬 ·chu
慉	hziq· 忄亠幺田 ·chu
雛	nsnu· 勹勹隹 ·chu
廚	xhkc· 广壴寸 ·chu
幮	rxhk· 巾广壴寸 ·chu
岀	vvs· 山山 ·chu
媰	bnss· 女勹勹 ·chu
埱	gyfr· 土⺊一小又 ·chu
嘼	ddqd· 口口田一口 ·chu
鶵	nsnx· 勹勹鳥 ·chu
処	hoj· 夂几 ·chu
鸀	yncx· 罒勹虫鳥 ·chu
儲	jsqo· 亻言耂日 ·chu
儊	jeet· 亻木木疋 ·chu
傗	jziq· 亻亠幺田 ·chu
齣	lgj· 齒句 ·chu
齭	lmtj· 齒斤 ·chu
齼	leet· 齒木木疋 ·chu
踹	pvle· ⻊山而 ·chuai
揣	uvle· 扌山而 ·chuai
搋	uxzh· 扌⺁虎 ·chuai
膪	viwd· 月冖巾口 ·chuai
啜	drrr· 口又又又又 ·chuai
嘬	doqr· 口曰耳又 ·chuai
膗	vvui· 月山隹 ·chuai
欼	rrre· 又又又又欠 ·chuai
穿	ely· 穴牙 ·chuan
传	jmai· 亻二丶 ·chuan
船	iodk· 舟几口 ·chuan
串	ddgs· 口口丨 ·chuan
川	oc· 川 ·chuan
喘	dvle· 口山而 ·chuan
椽	ebjs· 木彑 ·chuan
氚	voc· 气川 ·chuan
钏	zoc· 钅川 ·chuan
舛	lvk· 夕㐄 ·chuan
遄	vluc· 山而辶 ·chuan
舡	iug· 舟工 ·chuan
巛	oc· 巛 ·chuan
傳	jnqk· 亻十田寸 ·chuan
荈	llvk· 艹夕㐄 ·chuan
舩	ihks· 舟八厶 ·chuan
膞	vnqk· 月十田寸 ·chuan
篅	rvle· ⺮山而 ·chuan
賗	oddg· 貝口口丨 ·chuan
瑏	nely· 王穴牙 ·chuan
玔	noc· 王川 ·chuan
猭	mbjs· 犭彑 ·chuan
踳	paio· ⻊㇏日 ·chuan
輲	yvle· 車山而 ·chuan
汌	koc· 氵川 ·chuan
歂	vleq· 山而欠 ·chuan
釧	zoc· 金川 ·chuan
暷	onqk· 日十田寸 ·chuan
堾	gaio· 土㇏日 ·chuan
圌	rvle· 囗山而 ·chuan
剶	bjpd· 彑刂 ·chuan
鶨	bjxn· 彑鳥 ·chuan
僢	jywv· 亻爫冖夕㐄 ·chuan
床	xem· 广木 ·chuang
闯	anm· 门马 ·chuang
窗	etrh· 穴丿囗夂 ·chuang
创	jzpd· 人⺋刂 ·chuang
疮	ajzj· 疒人⺋ ·chuang
幢	ridl· 巾立里 ·chuang
怆	hjzj· 忄人⺋ ·chuang
橦	eidl· 木立里 ·chuang
蔥	ltrh· 艹丿囗夂心 ·chuang
膧	vidl· ⺼立里 ·chuang
窻	etrh· 穴丿囗夂心 ·chuang
窓	ekhx· 穴厶心 ·chuang
磢	mmbb· 石大乂乂乂乂 ·chuang
瘡	ajmd· 疒人口 ·chuang
牕	atrh· 片丿囗夂心 ·chuang
牎	aneh· 片勹丶心 ·chuang
牀	aem· 爿木 ·chuang
漺	kmbb· 氵大乂乂乂乂 ·chuang
朣	vidl· 月立里 ·chuang
摐	uwjs· 扌彳人人龰 ·chuang
闖	anm· 門馬 ·chuang
愴	hjmd· 忄人口 ·chuang
囪	trei· 丿囗丶 ·chuang
噇	didl· 口立里 ·chuang
創	jmdp· 人口刂 ·chuang
剙	hlph· 䒑廾刀 ·chuang
剏	hlpi· 䒑廾刀丶 ·chuang
刱	qphb· 井刀 ·chuang
刅	phb· 刀 ·chuang
傸	jmbb· 亻大乂乂乂乂 ·chuang
倉	jmdk· 人口 ·chuang
仺	jbj· 人 ·chuang
吹	deq· 口欠 ·chui
垂	llgs· 千艹士 ·chui
锤	zllg· 钅千艹士 ·chui
捶	ullg· 扌千艹士 ·chui
炊	ceq· 火欠 ·chui
槌	etku· 木丿㠯辶 ·chui
陲	tllg· 阝千艹士 ·chui
棰	ellg· 木千艹士 ·chui
椎	eui· 木隹 ·chui
菙	lllg· 艹千艹士 ·chui
腄	vllg· 月千艹士 ·chui
箠	rllg· ⺮千艹士 ·chui
磓	mtku· 石丿㠯辶 ·chui
桘	etki· 木丿㠯 ·chui
錘	zllg· 金千艹士 ·chui
鎚	ztku· 金丿㠯辶 ·chui
搥	utku· 扌丿㠯辶 ·chui
顀	uwy· 隹頁 ·chui
埀	lavg· 千匕土 ·chui
圌	rvle· 囗山而 ·chui
鬌	penv· 镸彡𠂇工⺝ ·chui
倕	jllg· 亻千艹士 ·chui
龡	jdde· 侖口口口欠 ·chui
春	aior· ㇏日 ·chun
纯	ifsc· 纟一 ·chun
蠢	aioc· ㇏日虫虫 ·chun
醇	yghi· 酉子 ·chun
唇	fdk· 辰口 ·chun
椿	eaio· 木㇏日 ·chun
淳	kghi· 氵子 ·chun
鹑	ghxn· 子鸟 ·chun
莼	lifs· 艹纟一 ·chun
蝽	caio· 虫㇏日 ·chun
蓴	lnqk· 艹十田厶寸 ·chun
蒓	lifs· 艹糹一 ·chun
萶	laio· 艹㇏日 ·chun
萅	lfso· 艹一日 ·chun
芚	lfsc· 艹一 ·chun
脣	fvy· 辰⺝ ·chun
純	ifsc· 糹一 ·chun
箺	raio· ⺮㇏日 ·chun
睶	qaio· 目㇏日 ·chun
賰	oaio· 貝㇏日 ·chun
瑃	naio· 王㇏日 ·chun
踳	paio· ⻊㇏日 ·chun
犉	qghi· 牜子 ·chun
漘	kfvy· 氵辰⺝ ·chun
輴	yxnq· 車⺁十目 ·chun
滣	kfdk· 氵辰口 ·chun
湻	kgor· 氵日 ·chun
浱	kfc· 氵辰 ·chun
醕	ygor· 酉日 ·chun
櫄	elph· 木千黑 ·chun
橁	erno· 木⺮勹日 ·chun
槆	elno· 木艹勹日 ·chun
杶	efsc· 木一 ·chun
暙	oaio· 日㇏日 ·chun
錞	zghi· 金子 ·chun
旾	fsor· 一日 ·chun
惷	aioh· ㇏日心 ·chun
陙	tfc· 阝辰 ·chun
媋	baio· 女㇏日 ·chun
堾	gaio· 土㇏日 ·chun
鯙	wghi· 魚子 ·chun
鰆	waio· 魚㇏日 ·chun
鶉	ghxn· 子鳥 ·chun
鶞	xnqx· ⺁十目鳥 ·chun
僢	jywv· 亻爫冖夕㐄 ·chun
偆	jaio· 亻㇏日 ·chun
戳	zupg· 羽隹戈 ·chuo
辍	yrrr· 又又又又 ·chuo
啜	drrr· 口又又又又 ·chuo
踔	pyon· ⻊⺊日十 ·chuo
龊	lpu· 齿足 ·chuo
绰	iyon· 纟⺊日十 ·chuo
缀	irrr· 纟又又又又 ·chuo
镞	zleo· 钅方𠂉矢 ·chuo
腏	vrrr· 月又又又又 ·chuo
繛	aiyn· 龶糸⺊日十 ·chuo
綽	iyon· 糹⺊日十 ·chuo
綴	irrr· 糹又又又又 ·chuo
磭	mfvy· 石辰⺝ ·chuo
趠	pyon· 走⺊日十 ·chuo
輟	yrrr· 車又又又又 ·chuo
辵	uc· 辵 ·chuo
涰	krrr· 氵又又又又 ·chuo
逴	yonu· ⺊日十辶 ·chuo
酫	yjnw· 酉人王 ·chuo
歠	rrre· 又又又又酉欠 ·chuo
鋜	zpu· 金足 ·chuo
錣	zrrr· 金又又又又 ·chuo
擉	uync· 扌罒勹虫 ·chuo
鏃	zleo· 金方𠂉矢 ·chuo
鑡	zlc· 金齒 ·chuo
惙	hrrr· 忄又又又又 ·chuo
婼	blnd· 女艹𠂇口 ·chuo
婥	byon· 女⺊日十 ·chuo
娖	bpu· 女足 ·chuo
娕	bxs· 女束 ·chuo
嚽	dapo· 口龶攵貝 ·chuo
齪	lpu· 齒足 ·chuo
齱	lqry· 齒耳又 ·chuo
次	weq· 冫欠 ·ci
此	svb· 匕 ·ci
词	safd· 讠㇆一口 ·ci
刺	empd· 木冂刂 ·ci
辞	anx· 舌辛 ·ci
慈	hiih· 䒑幺幺心 ·ci
瓷	werw· 冫欠瓦 ·ci
磁	mhii· 石䒑幺幺 ·ci
祠	fafd· 礻㇆一口 ·ci
赐	oone· 贝日勹 ·ci
雌	svui· 匕隹 ·ci
疵	asvb· 疒匕 ·ci
伺	jafd· 亻㇆一口 ·ci
茨	lweq· 艹冫欠 ·ci
呲	dsvb· 口匕 ·ci
糍	phii· 米䒑幺幺 ·ci
差	gug· ⺶工 ·ci
兹	hiiy· 䒑幺幺 ·ci
鹚	hiix· 䒑幺幺鸟 ·ci
茈	lsvb· 艹匕 ·ci
粢	wepm· 冫欠米 ·ci
荠	lqq· 艹齐 ·ci
泚	ksvb· 氵匕 ·ci
跐	psvb· ⻊匕 ·ci
薺	lqq· 艹齊 ·ci
薋	lweo· 艹冫欠貝 ·ci
萕	lqq· 艹斉 ·ci
莿	lemp· 艹木冂刂 ·ci
蛓	npcc· 十戈虫 ·ci
茲	liiy· 艹幺幺 ·ci
茦	lemk· 艹木冂 ·ci
螆	chii· 虫䒑幺幺 ·ci
蠀	cweo· 虫冫欠貝 ·ci
胔	svmj· 匕冂人人 ·ci
縒	igug· 糹⺶工 ·ci
絘	iweq· 糹冫欠 ·ci
詞	safd· 言㇆一口 ·ci
礠	mhih· 石䒑幺幺心 ·ci
皉	usvb· 白匕 ·ci
賜	oone· 貝日勹 ·ci
甆	hiir· 䒑幺幺瓦 ·ci
趀	ptf· 走𠂔 ·ci
珁	nrw· 王瓦 ·ci
玼	nsvb· 王匕 ·ci
玆	zizi· 亠幺亠幺 ·ci
濨	khih· 氵䒑幺幺心 ·ci
辝	kdnx· 厶口辛 ·ci
辤	ywrn· 爫冖又辛 ·ci
辭	ykmn· 爫龴冂厶又辛 ·ci
鈶	zkdk· 金厶口 ·ci
栨	eweq· 木冫欠 ·ci
栜	eemk· 木木冂 ·ci
柌	eafd· 木㇆一口 ·ci
枱	ekdk· 木厶口 ·ci
朿	emk· 木冂 ·ci
廁	xopd· 广貝刂 ·ci
庛	xsvb· 广匕 ·ci
嵳	vgug· 山⺶工 ·ci
飺	svqs· 匕食 ·ci
餈	weqs· 冫欠食 ·ci
嬨	bhih· 女䒑幺幺心 ·ci
姕	svbn· 匕女 ·ci
堲	izgt· 卩土 ·ci
垐	wegt· 冫欠土 ·ci
骴	fsvb· 骨匕 ·ci
髊	fgug· 骨⺶工 ·ci
鮆	svwv· 匕魚 ·ci
啙	svdd· 匕口口 ·ci
呰	svdk· 匕口 ·ci
厠	xopd· 厂貝刂 ·ci
鴜	svxn· 匕鳥 ·ci
刾	hhpd· 夫丷刂 ·ci
鶿	hiix· 䒑幺幺鳥 ·ci
鷀	hiix· 䒑幺幺鳥 ·ci
偨	jsve· 亻匕木 ·ci
佽	jweq· 亻冫欠 ·ci
佌	jsvb· 亻匕 ·ci
齹	gulc· ⺶工齒 ·ci
从	jjr· 人人 ·cong
丛	jjfi· 人人一 ·cong
聪	qhdh· 耳丷口心 ·cong
葱	lneh· 艹勹丶心 ·cong
琮	nwfs· 王宀示 ·cong
枞	ejjr· 木人人 ·cong
囱	trhi· 丿囗夂 ·cong
淙	kwfs· 氵宀示 ·cong
骢	ntrh· 马丿囗夂心 ·cong
匆	neid· 勹丶 ·cong
苁	ljjr· 艹人人 ·cong
璁	ntrh· 王丿囗夂心 ·cong
熜	ctrh· 火丿囗夂心 ·cong
藂	lqrk· 艹耳又丿 ·cong
蔥	ltrh· 艹丿囗夂心 ·cong
蓯	lwjs· 艹彳人人龰 ·cong
茐	lnei· 艹勹丶 ·cong
蟌	ctrh· 虫丿囗夂心 ·cong
聰	qtrh· 耳丿囗夂心 ·cong
聦	qneh· 耳勹丶心 ·cong
聡	qhkh· 耳八厶心 ·cong
繱	ilnh· 糹艹勹丶心 ·cong
緫	ineh· 糹勹丶心 ·cong
篵	rwjs· ⺮彳人人龰 ·cong
誴	swfs· 言宀示 ·cong
謥	strh· 言丿囗夂心 ·cong
碂	mwfs· 石宀示 ·cong
瞛	qwjs· 目彳人人龰 ·cong
賨	wfob· 宀示貝 ·cong
賩	owfs· 貝宀示 ·cong
瑽	nwjs· 王彳人人龰 ·cong
爜	ccgr· 火业⺷耳又 ·cong
燪	clnh· 火艹勹丶心 ·cong
焧	chkh· 火八厶心 ·cong
灇	kcgr· 氵业⺷耳又 ·cong
潨	ktak· 氵丿皿丿 ·cong
潈	kyjs· 氵罒 ·cong
潀	kyjj· 氵罒亻人人 ·cong
漗	ktrh· 氵丿囗夂心 ·cong
漎	kwjs· 氵彳人人龰 ·cong
欉	ecgr· 木业⺷耳又 ·cong
樷	eeqr· 木木耳又 ·cong
樬	etrh· 木丿囗夂心 ·cong
樅	ewjs· 木彳人人龰 ·cong
楤	eneh· 木勹丶心 ·cong
棇	ehkh· 木八厶心 ·cong
暰	owjs· 日彳人人龰 ·cong
鏦	zwjs· 金彳人人龰 ·cong
憁	htrh· 忄丿囗夂心 ·cong
慒	hfyo· 忄一曲曰 ·cong
愡	hneh· 忄勹丶心 ·cong
悰	hwfs· 忄宀示 ·cong
悤	trhh· 丿囗夂心 ·cong
怱	neih· 勹丶心 ·cong
忩	hkhx· 八厶心 ·cong
從	wjjs· 彳人人龰 ·cong
徖	wwfs· 彳宀示 ·cong
従	whts· 彳丷疋 ·cong
孮	hwfs· 子宀示 ·cong
婃	bwfs· 女宀示 ·cong
騘	nneh· 馬勹丶心 ·cong
驄	ntrh· 馬丿囗夂心 ·cong
囪	trei· 丿囗丶 ·cong
叢	cgqr· 业⺷耳又 ·cong
凑	waim· 冫㇏一大 ·cou
辏	yaim· ㇏一大 ·cou
腠	vaim· 月㇏一大 ·cou
楱	eaim· 木㇏一大 ·cou
輳	yaim· 車㇏一大 ·cou
湊	kaim· 氵㇏一大 ·cou
促	jpu· 亻足 ·cu
粗	pfq· 米且 ·cu
簇	rleo· ⺮方𠂉矢 ·cu
醋	ylor· 酉龷日 ·cu
蹙	nyfp· 戊⺊一小足 ·cu
蹴	pgyo· ⻊小尤 ·cu
猝	mzjn· 犭亠人人十 ·cu
徂	wfq· 彳且 ·cu
卒	zjjn· 亠人人十 ·cu
殂	gfq· 歹且 ·cu
蔟	lleo· 艹方𠂉矢 ·cu
酢	ywa· 酉乍 ·cu
蔖	lzfq· 艹虍且 ·cu
蔍	lxl· 艹鹿 ·cu
脨	vxs· 月束 ·cu
觕	qxty· 牜⺈用 ·cu
縬	inyy· 糹戊⺊一小 ·cu
誎	sxs· 言束 ·cu
瘯	aleo· 疒方𠂉矢 ·cu
瘄	alor· 疒龷日 ·cu
趗	ppu· 走足 ·cu
趥	phyy· 走丷酉 ·cu
趨	pnss· 走勹勹 ·cu
踀	ppu· ⻊足 ·cu
踓	pui· ⻊隹 ·cu
踤	pzjn· ⻊亠人人十 ·cu
踧	pyfr· ⻊⺊一小又 ·cu
蹵	gyop· 小尤足 ·cu
錯	zlor· 金龷日 ·cu
捽	uzjn· 扌亠人人十 ·cu
憱	hgyo· 忄小尤 ·cu
顣	nyfw· 戊⺊一小頁 ·cu
媨	bhyy· 女丷酉 ·cu
娖	bpu· 女足 ·cu
娕	bxs· 女束 ·cu
噈	dgyo· 口小尤 ·cu
卆	kns· 九十 ·cu
麁	xxl· ⺈鹿 ·cu
麄	hpxl· 八刀鹿 ·cu
麆	xfq· 鹿且 ·cu
麤	xxxl· 鹿鹿鹿 ·cu
鼀	ghdm· 土八黽 ·cu
窜	eddg· 穴口口丨 ·cuan
蹿	pedg· ⻊穴口口丨 ·cuan
爨	pmfc· 冂一口冖木木大火 ·cuan
攒	uqpo· 扌⺧⺧儿贝 ·cuan
汆	jks· 入水 ·cuan
篡	rqmk· ⺮目大厶 ·cuan
撺	uedg· 扌穴口口丨 ·cuan
镩	zedg· 钅穴口口丨 ·cuan
菆	lqry· 艹耳又 ·cuan
襸	tqpo· 衤⺧⺧儿貝 ·cuan
簒	rqmk· ⺮目大丿厶 ·cuan
竄	eps· 穴鼠 ·cuan
穳	xqpo· 禾⺧⺧儿貝 ·cuan
熶	coqr· 火曰耳又 ·cuan
躥	peps· ⻊穴鼠 ·cuan
殩	ggrp· 歹歹又米 ·cuan
欑	eqpo· 木⺧⺧儿貝 ·cuan
櫕	ehho· 木夫夫貝 ·cuan
鋑	zkhh· 金厶八夊 ·cuan
攢	uqpo· 扌⺧⺧儿貝 ·cuan
攛	ueps· 扌穴鼠 ·cuan
攅	uhho· 扌夫夫貝 ·cuan
鑹	zeps· 金穴鼠 ·cuan
巑	vqpo· 山⺧⺧儿貝 ·cuan
催	jvui· 亻山隹 ·cui
崔	vui· 山隹 ·cui
脆	vxxz· 月⺈厂⺋ ·cui
翠	zzjn· 羽亠人人十 ·cui
摧	uvui· 扌山隹 ·cui
萃	lzjn· 艹亠人人十 ·cui
粹	pzjn· 米亠人人十 ·cui
淬	kzjn· 氵亠人人十 ·cui
啐	dzjn· 口亠人人十 ·cui
璀	nvui· 王山隹 ·cui
瘁	azjn· 疒亠人人十 ·cui
衰	tdfi· 衣口一 ·cui
悴	hzjn· 忄亠人人十 ·cui
毳	vvvm· 毛毛 ·cui
榱	etdf· 木衣口一 ·cui
隹	ui· 隹 ·cui
臎	vzzn· 月羽亠人人十 ·cui
膵	vlzn· 月艹亠人人十 ·cui
膬	vvvv· 月毛毛 ·cui
脺	vzjn· 月亠人人十 ·cui
脃	vxmb· 月⺈巴 ·cui
翆	zkns· 羽九十 ·cui
襊	toqr· 衤曰耳又 ·cui
缞	itdf· 纟衣口一 ·cui
繀	ivui· 糹山隹 ·cui
縗	itdf· 糹衣口一 ·cui
綷	izjn· 糹亠人人十 ·cui
紣	ikns· 糹九十 ·cui
粋	pkns· 米九十 ·cui
竁	evvv· 穴毛毛 ·cui
磪	mvui· 石山隹 ·cui
皠	uvui· 白山隹 ·cui
疩	akns· 疒九十 ·cui
趡	pui· 走隹 ·cui
琗	nzjn· 王亠人人十 ·cui
獕	mvui· 犭山隹 ·cui
熣	cvui· 火山隹 ·cui
焠	czjn· 火亠人人十 ·cui
濢	kzzn· 氵羽亠人人十 ·cui
漼	kvui· 氵山隹 ·cui
槯	evui· 木山隹 ·cui
椊	ezjn· 木亠人人十 ·cui
鏙	zvui· 金山隹 ·cui
慛	hvui· 忄山隹 ·cui
忰	hkns· 忄九十 ·cui
嶉	vdui· 山口隹 ·cui
崒	vzjn· 山亠人人十 ·cui
顇	zjjw· 亠人人十頁 ·cui
墔	gvui· 土山隹 ·cui
啛	dfbb· 口一女 ·cui
凗	wvui· 冫山隹 ·cui
倅	jzjn· 亻亠人人十 ·cui
伜	jkns· 亻九十 ·cui
存	nghi· 𠂇丨子 ·cun
村	ekc· 木寸 ·cun
寸	kc· 寸 ·cun
吋	dkc· 口寸 ·cun
皴	khhr· 厶八夊皮 ·cun
忖	hkc· 忄寸 ·cun
蹲	phyk· ⻊丷酉寸 ·cun
膥	anaj· 未戊㇆冂人人 ·cun
